Date,Solar Radiation (W/m²),Temperature (°C),Wind Speed (m/s),Humidity (% RH),Surface Temperature (°C)
2001-10-28,17.02,27.9,3.02,16.78,28.26
2001-10-29,17.34,28.09,2.64,18.03,28.35
2001-10-30,17.19,28.17,2.74,17.94,28.06
2001-10-31,16.93,29.38,2.17,16.01,28.08
2001-11-01,17.79,28.88,3.57,17.57,28.46
2001-11-02,17.62,28.37,5.18,21.14,28.16
2001-11-03,16.99,26.21,4.09,26.43,26.14
2001-11-04,17.45,24.5,2.12,14.09,24.11
2001-11-05,17.09,22.65,2.76,15.75,23.41
2001-11-06,15.82,22.59,3.38,15.27,22.91
2001-11-07,16.35,21.81,3.85,18.61,21.94
2001-11-08,17.29,21.73,3.0,17.92,21.29
2001-11-09,17.34,22.83,1.98,17.23,21.66
2001-11-10,17.02,23.18,2.35,15.97,22.55
2001-11-11,17.49,22.83,2.66,16.8,22.8
2001-11-12,16.85,22.38,3.04,17.59,22.24
2001-11-13,16.71,23.81,1.63,14.51,22.04
2001-11-14,17.13,24.84,1.79,12.98,21.76
2001-11-15,17.59,24.05,2.06,13.28,21.88
2001-11-16,17.11,22.53,2.82,15.82,22.28
2001-11-17,16.43,22.05,2.96,18.94,21.6
2001-11-18,16.17,22.92,2.01,18.62,21.45
2001-11-19,16.18,23.53,1.97,16.58,21.46
2001-11-20,15.3,23.83,2.62,19.23,22.79
2001-11-21,15.22,23.26,2.92,19.79,23.81
2001-11-22,15.75,22.27,3.17,19.21,22.43
2001-11-23,15.7,22.3,2.08,18.53,21.34
2001-11-24,16.39,22.62,2.33,16.72,20.56
2001-11-25,16.55,21.07,2.58,17.15,20.78
2001-11-26,15.98,20.4,2.28,18.99,20.13
2001-11-27,16.0,20.06,2.94,22.11,19.88
2001-11-28,15.75,20.75,1.86,20.0,19.55
2001-11-29,15.71,20.64,2.24,18.21,19.2
2001-11-30,15.46,19.7,2.62,18.92,19.21
2001-12-01,15.61,20.67,2.14,15.92,18.32
2001-12-02,15.35,20.75,2.03,14.48,18.59
2001-12-03,15.19,20.88,2.62,16.4,19.05
2001-12-04,15.15,21.85,2.09,18.53,19.83
2001-12-05,14.59,20.55,2.29,23.77,19.99
2001-12-06,14.75,21.55,2.14,24.36,20.42
2001-12-07,13.38,22.87,2.2,22.43,20.59
2001-12-08,13.75,22.2,2.9,25.18,20.73
2001-12-09,14.12,22.66,2.45,27.6,21.0
2001-12-10,14.14,22.32,1.77,26.19,21.1
2001-12-11,14.4,20.42,2.45,24.88,19.54
2001-12-12,11.68,17.34,3.39,29.79,17.45
2001-12-13,14.04,18.73,1.41,23.04,17.33
2001-12-14,10.55,20.18,1.56,17.81,18.46
2001-12-15,13.04,18.36,2.37,27.01,18.21
2001-12-16,12.87,16.92,3.23,27.96,17.53
2001-12-17,13.22,17.43,2.9,37.0,17.88
2001-12-18,12.81,18.47,2.53,37.19,18.65
